"recpt_dt","count","item_id"
"2016-11-13 17:49:00",5,23
"2016-11-14 13:09:00",1,23
"2016-11-14 18:56:00",6,23
"2016-11-14 19:39:00",1,23
"2016-11-14 20:50:00",1,23
"2016-11-15 18:11:00",1,23
"2016-11-15 18:15:00",1,23
"2016-11-15 18:17:00",2,23
"2016-11-16 13:14:00",1,23
"2016-11-17 21:16:00",2,23
"2016-11-17 11:59:00",1,23
"2016-11-17 15:49:00",2,23
"2016-11-17 16:24:00",2,23
"2016-11-17 17:06:00",3,23
"2016-11-17 18:52:00",2,23
"2016-11-17 21:05:00",1,23
"2016-11-18 09:28:00",1,23
"2016-11-18 09:50:00",1,23
"2016-11-18 10:56:00",1,23
"2016-11-18 14:46:00",1,23
"2016-11-18 19:49:00",2,23
"2016-11-19 13:07:00",1,23
"2016-11-20 19:48:00",1,23
"2016-11-21 13:43:00",1,23
"2016-11-21 17:46:00",2,23
"2016-11-21 20:57:00",2,23
"2016-11-22 12:04:00",5,23
"2016-11-22 12:09:00",1,23
"2016-11-22 16:09:00",1,23
"2016-11-23 19:04:00",1,23
"2016-11-23 20:56:00",2,23
"2016-11-24 13:50:00",2,23
"2016-11-24 13:27:00",1,23
"2016-11-24 20:10:00",1,23
"2016-11-25 20:08:00",1,23
"2016-11-25 21:35:00",5,23
"2016-11-25 13:01:00",5,23
"2016-11-25 15:34:00",1,23
"2016-11-25 20:05:00",3,23
"2016-11-25 20:35:00",4,23
"2016-11-26 19:43:00",6,23
"2016-11-26 13:20:00",1,23
"2016-11-26 15:23:00",1,23
"2016-11-26 21:48:00",1,23
"2016-11-27 15:35:00",1,23
"2016-11-27 09:48:00",2,23
"2016-11-27 13:10:00",1,23
"2016-11-27 17:44:00",4,23
"2016-11-27 17:49:00",3,23
"2016-11-27 20:46:00",1,23
"2016-11-27 20:55:00",1,23
"2016-11-28 09:39:00",1,23
"2016-11-28 10:37:00",2,23
"2016-11-28 11:24:00",2,23
"2016-11-28 14:26:00",1,23
"2016-11-28 17:34:00",1,23
"2016-11-28 18:01:00",2,23
"2016-11-28 19:46:00",1,23
"2016-11-28 20:18:00",4,23
"2016-11-29 16:17:00",1,23
"2016-11-30 11:40:00",2,23
"2016-11-30 11:43:00",2,23
"2016-11-30 14:06:00",2,23
"2016-11-30 21:10:00",1,23
"2016-11-30 21:53:00",3,23
"2016-11-01 17:45:00",5,23
"2016-11-01 19:17:00",1,23
"2016-11-02 20:36:00",1,23
"2016-11-03 10:41:00",1,23
"2016-11-03 11:01:00",1,23
"2016-11-04 13:21:00",1,23
"2016-11-04 18:36:00",1,23
"2016-11-04 20:59:00",1,23
"2016-11-05 11:25:00",1,23
"2016-11-05 13:40:00",1,23
"2016-11-05 15:41:00",2,23
"2016-11-05 16:04:00",1,23
"2016-11-06 11:30:00",1,23
"2016-11-06 14:25:00",1,23
"2016-11-06 19:56:00",1,23
"2016-11-07 12:31:00",1,23
"2016-11-08 21:30:00",1,23
"2016-11-09 11:25:00",1,23
"2016-11-09 19:23:00",1,23
"2016-11-09 20:06:00",1,23
"2016-11-10 19:39:00",1,23
"2016-11-10 20:45:00",1,23
"2016-11-10 20:58:00",1,23
"2016-11-10 21:28:00",1,23
"2016-11-10 21:42:00",1,23
"2016-11-11 20:49:00",1,23
"2016-11-12 15:38:00",1,23
"2016-11-12 18:47:00",1,23
"2016-11-13 16:51:00",1,23
"2016-11-14 20:44:00",1,23
"2016-11-15 17:35:00",1,23
"2016-11-15 18:22:00",1,23
"2016-11-15 19:38:00",1,23
"2016-11-15 19:44:00",1,23
"2016-11-16 11:25:00",1,23
"2016-11-16 18:40:00",1,23
"2016-11-16 21:41:00",1,23
"2016-11-17 14:43:00",1,23
"2016-11-17 19:23:00",1,23
"2016-11-18 09:58:00",1,23
"2016-11-18 16:10:00",1,23
"2016-11-18 19:41:00",1,23
"2016-11-18 20:04:00",1,23
"2016-11-19 17:05:00",1,23
"2016-11-19 18:34:00",1,23
"2016-11-19 20:49:00",1,23
"2016-11-20 15:05:00",2,23
"2016-11-20 15:27:00",1,23
"2016-11-20 16:10:00",4,23
"2016-11-21 20:26:00",1,23
"2016-11-22 13:59:00",1,23
"2016-11-22 14:52:00",1,23
"2016-11-24 09:51:00",1,23
"2016-11-24 13:21:00",1,23
"2016-11-24 20:58:00",2,23
"2016-11-21 18:00:00",1,23
"2016-11-22 11:09:00",4,23
"2016-11-24 13:09:00",1,23
"2016-11-25 21:07:00",5,23
"2016-11-26 11:34:00",3,23
"2016-11-26 16:31:00",5,23
"2016-11-27 16:32:00",1,23
"2016-11-28 20:17:00",1,23
"2016-11-29 09:50:00",1,23
"2016-11-01 20:34:00",3,23
"2016-11-02 09:42:00",1,23
"2016-11-04 16:40:00",1,23
"2016-11-04 21:48:00",1,23
"2016-11-07 21:09:00",1,23
"2016-11-11 19:36:00",1,23
"2016-11-12 21:19:00",1,23
"2016-11-14 18:22:00",1,23
"2016-11-15 10:45:00",1,23
"2016-11-15 11:30:00",1,23
"2016-11-15 18:35:00",2,23
"2016-11-16 21:00:00",1,23
"2016-11-17 19:55:00",1,23
"2016-11-19 12:10:00",1,23
"2016-11-20 11:43:00",2,23
"2016-11-20 20:08:00",1,23
"2016-11-25 09:49:00",1,23
"2016-11-25 20:51:00",1,23
"2016-11-26 11:29:00",1,23
"2016-11-26 14:36:00",1,23
"2016-11-26 20:27:00",1,23
"2016-11-27 10:57:00",2,23
"2016-11-27 19:18:00",3,23
"2016-11-30 18:42:00",1,23
"2016-11-30 20:51:00",1,23
"2016-09-30 09:16:00",4,24
"2016-09-30 14:54:00",2,24
"2016-09-30 19:47:00",1,24
"2016-09-30 17:32:00",2,24
"2016-09-30 19:26:00",3,24
"2016-09-30 20:08:00",2,24
"2016-10-01 12:43:00",1,24
"2016-10-01 17:49:00",7,24
"2016-10-01 18:57:00",5,24
"2016-10-01 21:43:00",2,24
"2016-10-02 20:57:00",1,24
"2016-10-02 14:10:00",1,24
"2016-10-02 10:25:00",1,24
"2016-10-02 11:49:00",5,24
"2016-10-02 17:24:00",1,24
"2016-10-02 18:15:00",1,24
"2016-10-02 18:44:00",5,24
"2016-10-02 19:12:00",1,24
"2016-10-02 20:53:00",1,24
"2016-10-02 21:58:00",3,24
"2016-10-03 17:01:00",2,24
"2016-10-03 13:20:00",1,24
"2016-10-03 14:50:00",1,24
"2016-10-03 16:02:00",2,24
"2016-10-03 16:51:00",1,24
"2016-10-03 18:07:00",1,24
"2016-10-03 18:08:00",1,24
"2016-10-03 19:46:00",1,24
"2016-10-03 21:18:00",5,24
"2016-10-04 21:09:00",1,24
"2016-10-04 10:32:00",1,24
"2016-10-04 13:45:00",1,24
"2016-10-04 21:31:00",2,24
"2016-10-05 11:51:00",3,24
"2016-10-05 18:28:00",2,24
"2016-10-05 19:04:00",1,24
"2016-10-05 21:13:00",4,24
"2016-10-05 21:27:00",1,24
"2016-10-05 21:28:00",2,24
"2016-10-06 16:26:00",1,24
"2016-10-06 16:48:00",1,24
"2016-10-07 12:58:00",1,24
"2016-10-07 10:52:00",1,24
"2016-10-07 13:36:00",1,24
"2016-10-07 14:27:00",3,24
"2016-10-07 17:43:00",1,24
"2016-10-07 19:54:00",1,24
"2016-10-07 19:58:00",1,24
"2016-10-07 21:10:00",4,24
"2016-10-08 16:22:00",1,24
"2016-10-08 16:45:00",3,24
